iter	Passed	Remaining
0	12	12913
1	25	12480
2	37	12311
3	48	12170
4	60	12074
5	72	11937
6	83	11880
7	95	11822
8	107	11792
9	119	11797
10	131	11781
11	142	11760
12	154	11752
13	166	11760
14	178	11747
15	190	11727
16	202	11701
17	214	11684
18	226	11677
19	238	11664
20	249	11639
21	261	11646
22	273	11634
23	285	11620
24	297	11590
25	308	11562
26	320	11541
27	331	11520
28	343	11492
29	354	11475
30	366	11454
31	377	11431
32	388	11398
33	400	11380
34	412	11366
35	423	11343
36	435	11335
37	447	11325
38	459	11324
39	470	11299
40	482	11281
41	493	11259
42	505	11246
43	517	11236
44	528	11226
45	540	11209
46	553	11219
47	565	11216
48	577	11205
49	589	11205
50	601	11192
51	613	11181
52	624	11166
53	636	11152
54	648	11136
55	659	11122
56	671	11102
57	682	11085
58	694	11076
59	706	11064
60	717	11046
61	729	11029
62	740	11018
63	752	11002
64	764	10990
65	775	10974
66	786	10957
67	799	10953
68	811	10948
69	824	10959
70	836	10940
71	847	10928
72	859	10917
73	871	10902
74	882	10885
75	895	10883
76	907	10883
77	919	10870
78	932	10868
79	944	10860
80	957	10858
81	969	10854
82	984	10879
83	997	10876
84	1009	10869
85	1022	10871
86	1035	10866
87	1048	10867
88	1062	10870
89	1098	11104
90	1110	11092
91	1121	11072
92	1133	11052
93	1146	11048
94	1158	11032
95	1171	11032
96	1183	11019
97	1195	11004
98	1207	10985
99	1218	10965
100	1229	10947
101	1241	10929
102	1252	10910
103	1263	10889
104	1275	10870
105	1287	10856
106	1298	10839
107	1310	10822
108	1323	10818
109	1334	10800
110	1346	10785
111	1357	10766
112	1369	10749
113	1380	10731
114	1392	10713
115	1403	10697
116	1415	10682
117	1426	10666
118	1438	10650
119	1450	10635
120	1461	10619
121	1473	10606
122	1485	10590
123	1496	10573
124	1508	10556
125	1519	10539
126	1530	10522
127	1542	10508
128	1554	10494
129	1565	10480
130	1577	10464
131	1589	10450
132	1600	10434
133	1612	10419
134	1623	10404
135	1635	10392
136	1647	10375
137	1658	10361
138	1670	10346
139	1682	10333
140	1693	10316
141	1704	10299
142	1715	10282
143	1726	10265
144	1738	10252
145	1750	10241
146	1762	10224
147	1774	10212
148	1785	10198
149	1798	10190
150	1810	10180
151	1823	10173
152	1834	10157
153	1846	10144
154	1857	10128
155	1869	10114
156	1881	10101
157	1893	10088
158	1904	10073
159	1916	10061
160	1928	10049
161	1940	10040
162	1953	10030
163	1965	10019
164	1977	10009
165	1990	10001
166	2002	9989
167	2015	9982
168	2027	9970
169	2039	9958
170	2051	9945
171	2064	9937
172	2076	9925
173	2088	9912
174	2099	9899
175	2111	9886
176	2123	9871
177	2134	9856
178	2146	9843
179	2157	9827
180	2168	9811
181	2179	9796
182	2191	9783
183	2203	9769
184	2214	9756
185	2226	9743
186	2237	9729
187	2249	9716
188	2261	9702
189	2272	9687
190	2283	9672
191	2295	9659
192	2306	9645
193	2318	9630
194	2329	9617
195	2341	9604
196	2352	9590
197	2364	9576
198	2375	9561
199	2387	9548
200	2398	9535
201	2410	9521
202	2421	9505
203	2432	9492
204	2444	9480
205	2455	9466
206	2467	9452
207	2479	9440
208	2490	9425
209	2502	9413
210	2514	9403
211	2525	9388
212	2537	9374
213	2548	9360
214	2559	9345
215	2571	9332
216	2583	9320
217	2595	9310
218	2607	9297
219	2619	9287
220	2631	9276
221	2643	9264
222	2655	9251
223	2666	9238
224	2678	9225
225	2690	9213
226	2701	9198
227	2712	9183
228	2723	9170
229	2734	9156
230	2746	9143
231	2758	9129
232	2770	9120
233	2782	9107
234	2794	9096
235	2807	9087
236	2818	9074
237	2830	9062
238	2842	9050
239	2853	9036
240	2865	9024
241	2877	9011
242	2888	8999
243	2900	8987
244	2912	8974
245	2924	8963
246	2936	8952
247	2950	8945
248	2962	8934
249	2974	8922
250	2985	8910
251	2998	8900
252	3009	8887
253	3023	8879
254	3035	8866
255	3046	8855
256	3058	8841
257	3069	8828
258	3082	8819
259	3094	8806
260	3109	8805
261	3122	8795
262	3134	8782
263	3145	8769
264	3156	8756
265	3168	8743
266	3179	8729
267	3191	8717
268	3203	8706
269	3215	8693
270	3226	8680
271	3238	8666
272	3249	8653
273	3261	8640
274	3273	8629
275	3284	8617
276	3296	8604
277	3307	8591
278	3319	8577
279	3330	8564
280	3342	8552
281	3354	8541
282	3366	8528
283	3377	8516
284	3390	8505
285	3401	8492
286	3413	8479
287	3424	8466
288	3435	8452
289	3447	8440
290	3458	8426
291	3469	8413
292	3481	8400
293	3492	8387
294	3504	8375
295	3516	8362
296	3528	8351
297	3539	8337
298	3550	8324
299	3562	8312
300	3573	8299
301	3585	8286
302	3596	8272
303	3607	8259
304	3618	8246
